letter,question,answer
ت,"البحث في تفاصيل أي موضوع عن قرب ودقة","تقصي"
ت,"مضي مدة معينة على عدم المطالبة بالدين أو بأي حق من الحقوق","تقادم"
ت,"ما العملية الفيزيائية التي تتحول فيها المادة من الحالة الصلبة إلى الغازية مباشرة؟","تسامي"
ت,"إجراء طبي يلجأ له مرضى زيادة الوزن للتقليل من أوزانهم؟","تكميم"
ت,"ما اسم العملية التي تقوم بها النباتات لتحويل ضوء الشمس إلى طاقة؟","تمثيل ضوئي"
ت,"ما اسم المنطقة البيئية الباردة التي تمتاز بقلة الأشجار وانتشار الطحالب؟","تندرا"
ت,"أكلة وصى بها رسول الله؟","التلبينة"
ت,"طائرة حربية متعددة المهام تستعمل كمطاردة ومقاتلة وهي إنتاج مشترك من بريطانيا وألمانيا وإيطاليا","تورنادو"
ت,"من الكتب السماوية؟","التوراة"
ت,"ما هي العظمة التي تفصل القفص الصدري عن الحزام الكتفي؟","الترقوة"
ت,"هي بداية مرحله جديده، ينال منها الانسان جزائة بعد حياة حافله من العمل","تقاعد"
ت,"ما الفاكهة المذكورة في القرآن وتتميز بقشرتها الرقيقة ولبها الحلو؟","تين"
ت,"ما هو اسم العملية التي يتم فيها بيع السلع والخدمات لدول أخرى؟","التصدير"
ت,"ما معنى براءة؟","التخلص من العيب"
ت,"من علامات الساعة الصغرى","تطاول البنيان"
ت,"في السنة الماضية حصل زلزال مدمر في أي دولة حصل هذا الزلزال؟","تركيا"
ت,"ما هي السورة الوحيدة التي لا تبدأ بالبسملة في القرآن الكريم؟","التوبة"
ت,"ماذا يسمى تقسيم موضوع معقد لأجزاء صغيرة لفهمها بشكل أعمق؟","تحليل"
ت,"هي منتجات نباتية ذكية الرائحة تستعمل لإعطاء الطعام نكهة؟","توابل"
ت,"مدينة من مدن العراق؟","تكريت"
ت,"من هو الملك الفرعوني الذي اكتشفت مقبرته سليمة عام 1922؟","توت عنخ آمون"
ث,"ما الكائن الزاحف الذي يُطلَق عليه في العربية اسم ""حية"" أو ""أفعى""؟","ثعبان"
ث,"من هو الصحابي الذي اعتمر قبل النبي صلى الله عليه وسلم في عصر النبوة؟","ثمامة بن أثال"
ث,"من هو أول رجل اعتمر في الإسلام؟","ثمامة بن أثال"
ث,"ما الحيوان المعروف في الثقافة العربية بلقب ""أبو الحصين"" ويُضرَب به المثل في المكر؟","ثعلب"
ث,"ما اسم العملية المندرجة في الجبر والتي تحتوي على ثلاثة حدود جبرية في صيغة واحدة؟","ثلاثي الحدود"
ث,"شيء إذا شرب الماء مات؟","الثلج"
ث,"ما المقصود ب خشيف الريم؟","ثلج خشن"
ث,"ما المصطلح الجغرافي الذي كان يُطلَق قديمًا على المناطق الحدودية بين الدولة الإسلامية وأراضي العدو؟","ثغر"
ث,"لفظ يطلق على الإنس والجن وورد في سورة الرحمن","الثقلان"
ث,"صفة تطلق على الشخص كثير الكلام","ثرثار"
ث,"بمعنى الهلاك والفساد","ثبور"
ث,"من هي المرأة التي فقدت ولدها؟","ثكلى"
ث,"أكلة عربية شعبية عريقة، اشتهرت بأنها طعام النبي محمد ﷺ المفضل وهو خبز يابس يُفتّ ويُصب عليه مرق اللحم","الثريد"
ث,"كم جالون من الماء يشربها فيل كامل النمو تقريبا.","ثلاثون قالون."
ث,"كلمة بمعنى الاستقرار والدوام والرسوخ وعدم الزوال أو التحرك","ثبات"
ث,"ما الاسم الذي يطلق على فتحات صغيرة يُحدِثها الإنسان عمدًا بأدوات في مادة صلبة؟","ثقوب"
