الحرف,السؤال,الإجابة
أ,"من هو الصحابي الذي كان يُلقب بـ""الحِبّ بن الحِبّ""؟",أسامة بن زيد
أ,من هو الفيلسوف اليوناني الذي درس على يد سقراط,أفلاطون
أ,علاقة بيئية بين كائنين حيين، يعتمد فيها أحدهما على الآخر كمصدر للغذاء عن طريق قتله والتهامه,افتراس
أ,ما اسم سلسلة الجبال الممتدة عبر شمال غرب أفريقيا في دول المغرب والجزائر وتونس؟,جبال الأطلس
أ,كلمة تطلق على الجسيمات ذات الشحنة السالبة في الذرة؟,إلكترونات
أ,قتل متعمد ومخطط له يستهدف شخصية بارزة أو مهمة بشكل مفاجئ وسري وعادة ما يكون بدوافع سياسية,اغتيال
أ,كلمة تطلق على المسافر المنقطع به في سفره؟,ابن السبيل
أ,ما هو أعلى جبل في العالم من حيث الارتفاع عن سطح البحر؟,إيفرست
أ,ما اسم مجموعة الحكايات الأدبية الشعبية التي تدور حول شهرزاد وشهريار وتحتوي على قصص عربية وفارسية وهندية؟,ألف ليلة وليلة
أ,من هو الوحيد الّذي ذكر بكنيته في القرآن الكريم؟,أبو لهب
أ,من هي زوجة النبي ﷺ التي أشارت عليه بالحلق والنحر يوم الحديبية؟,أم سلمة
أ,كلمة تطلق على لزوم المسجد لطاعة الله تعالى بصيام وصلاة وذكر؟,الاعتكاف
أ,"مؤلف كتاب ""البداية والنهاية"" والّذي يعد من أشهر كتب التاريخ التي تتناول تاريخ الأنبياء والعالم الإسلامي؟",ابن كثير (رحمه الله)
أ,من هو مؤسس علم النحو؟,أبو الأسود الدؤلي
أ,ما هي القصص الخيالية والخرافية الّتي تحكى عن القدماء وتعد شكل من أشكال الأدب؟,الأساطير
أ,ما هي اللغة الرسمية في دولة المكسيك؟,الإسبانية
أ,"من هو النبي الكريم الذي أطلق عليه لقب ""أبو الأنبياء""؟",إبراهيم عليه السلام
أ,صحابي جليل، كان والياً على البحرين من قبل النبي ﷺ، وتوفي النبي وهو على رأس عمله، فرفض العمل لأحد بعده,أبان بن سعيد بن العاص (رضي الله عنه)
أ,ما اسم الطبقة الداخلية من الجلد؟,أدمة
أ,ماذا يطلق على الكذب البيّن والافتراء والقلب الشديد للحقائق؟,إفك
أ,ما هي القدرة على إنتاج أفكار وأعمال أصيلة ومبتكرة؟,الإبداع
أ,مصطلح يطلق على من يعتمد على أطرافه اليسرى في العمل والأنشطة اليومية,أعسر
أ,من هو الرحالة العربي المشهور الذي طاف البحار وكتب عن رحلاته؟,ابن بطوطة
أ,من هو الشاعر الجاهلي الذي يُعد من أصحاب المعلقات وبدأ معلقته بالبكاء على الأطلال؟,امرؤ القيس
أ,ما هو النظام الفكري الذي يتضمن معتقدات وأفكار متكاملة حول المجتمع والسياسة؟,أيديولوجيا
أ,ما هي عاصمة جمهورية إثيوبيا؟,أديس أبابا
أ,في أي مدينة توجد أطول حلبة تزلج ثلجية في العالم؟,أوتاوا في كندا
أ,ما هي عاصمة جمهورية اليونان؟,أثينا
أ,ماذا يسمى التوقع والرجاء في حدوث الخير في المستقبل؟,أمل
أ,من هو العالم اليوناني القديم الذي وضع قانون الطفو؟,أرخميدس
أ,ما هي الدولة الأوروبية التي كانت موطناً لحضارة الأندلس الإسلامية,إسبانيا
أ,ما هو اسم الإعلامي السعودي الذي اشتهر ببرنامجه التلفزيوني (خواطر) والذي كان يعرض في شهر رمضان المبارك,أحمد الشقيري
أ,لاعب سعودي لعب لكلٍ من الهلال والنصر والاتحاد والقادسية؟,أحمد الفريدي
أ,ما الاسم الذي يُطلق على نظام تجاري يسمح باستخدام علامة تجارية ونموذج عمل مقابل رسوم أو نسبة من الأرباح؟,امتياز تجاري
أ,ما هو المصدر الثالث من مصادر التشريع الإسلامي بعد القرآن والسنة؟,الإجماع
أ,"من القائل ""ليت الذي بيني وبينك عامرٌ.. وبيني وبين العالمين خرابُ""؟",أبو فراس الحمداني
أ,صحابي جليل، كان يتميز في المعارك بعصابة حمراء يلفها على رأسه يعرف بها شجاعته,أبو دجانة الأنصاري (رضي الله عنه)
أ,أين يوجد أطول سياج في العالم والذي يطلق عليه سياج الدينجو؟,أستراليا
أ,صحابي نزل الرسول في بيته يوم الهجرة عند وصوله المدينة المنورة,أبو أيوب الأنصاري
أ,تعد من أخلاق الإسلام الرفيعة التي تعني التروي والنظر في العواقب، وهي من مرادفات الصبر أو الحلم,الأناة
أ,صحابي جليل وزعيم الأوس في المدينة، عُرف بحكمته وصوته الجميل في القرآن الكريم..,أُسيد بن الحضير
أ,ما اسم القارة الأسطورية التي قيل إنها اختفت تحت سطح البحر وفقًا لحوارات أفلاطون؟,قارة أتلانتس
أ,ما اسم الحدث الرياضي العالمي الذي يُقام كل أربع سنوات ويضم رياضيين من رياضات مختلفة ومن مختلف الدول؟,الأولمبياد
أ,ما هو المفهوم الإسلامي الذي يمثل أعلى مراتب الدين ويعني عبادة الله كأنك تراه؟,الإحسان
أ,ما هي المبادئ والقيم التي تحكم سلوك الإنسان؟,الأخلاق
أ,ماذا تسمى أنثى الثعبان؟,أفعى
أ,صحابي جليل قال عنه رسول الله صلى الله عليه وسلم يموت وحده ويبعث وحده,أبو ذر الغفاري
أ,ما هي صفة الشيء غير المقلد والمتجذر في التراث والتاريخ؟,أصالة
أ,ما اسم المقابر الملكية الضخمة التي بناها الفراعنة في مصر القديمة لتُخلدهم بعد الموت؟,الأهرامات
أ,ما اسم الشجرة الّتي يُستخرج من جذورها السواك؟,الأراك
أ,من هو الصحابي الجليل الذي لُقب بأمين هذه الأمة، وأرسله النبي صلى الله عليه وسلم إلى أهل نجران ليعلمهم الإسلام ويقضي بينهم؟,أبو عبيدة عامر بن الجراح
أ,كلمة بمعنى مقطوع النسل أو من لا ذرية له,أبتر
أ,ما هي عملية زيادة القيمة أو المحتوى أو تعزيز الجودة؟,إثراء
أ,ما هي الدولة التي تمتلك أكثر من 20 ألف قلعة تاريخية؟,ألمانيا
أ,ماذا يسمى مَن لا يُبصر ليلاً ويُبصر نهاراً؟,أعشى
أ,من هو العالم العربي المسلم الذي اكتشف الدورة الدموية الصغرى؟,ابن النفيس
أ,ما هي وحدة القياس الدولية المستخدمة لقياس شدة التيار الكهربائي؟,أمبير
أ,ما هي ثالث أكبر دولة في قارة آسيا من حيث عدد السكان؟,إندونيسيا
أ,ما اسم الإقليم الذي فتحه المسلمون في أوروبا وظل تحت حكمهم لقرون؟,الأندلس
ب,ماذا تسمى الأوراق الملونة بالزهرة والتي وظيفتها الرئيسية هي جذب الملقحات مثل النحل والفراشات,البتلات
ب,طائر من الجوارح، يشبه العقاب في قوته وشراسته، لكنه يتميز بجسمه الطويل النحيف ورشاقته الفائقة,الباشق
ب,قصيدة تعد من أشهر قصائد المدح النبوي وأنشدها الصحابي كعب بن زهير ليبايعه على الإسلام,البردة
ب,ما اسم الأداة التي تتأرجح ذهابًا وإيابًا وتُستخدم في بعض الساعات لتحديد الوقت؟,بنْدول
ب,اسم هواية زراعة النباتات لأغراض الزينة أو الغذاء في نطاق صغير,البستنة
ب,ماذا تسمى الجسيمات ذات الشحنة الموجبة في الذرة؟,البروتونات
ب,ما هي أكبر دولة في العالم إنتاجًا للقهوة؟,البرازيل
ب,ما اسم المكان الذي تُزرع فيه الأشجار المثمرة ويُعتنى بها؟,بستان
ب,ما الجزء من النبات الذي يحتوي على الجنين ويمكن أن ينمو ليشكل نباتًا جديدًا؟,بذرة
ب,ما هي عاصمة دولة بلجيكا؟,بروكسل
ب,ما هي اللغة الرسمية في البرازيل؟,البرتغالية
ب,مصطلح ذٌكر في القرآن الكريم بمعنى أشد الحزن والهم الذي انطوت عليه النفس ولا يطيقه المرء,البث
ب,ما المصطلح الذي يُطلق على مجموعة القواعد والإجراءات الرسمية التي تنظّم أساليب التعامل والمراسم في العلاقات الدبلوماسية؟,البروتوكول
ب,ما اسم الدابّة التي امتطاها الرسول صلى الله عليه وسلم ليلة الإسراء والمعراج؟,البراق
ب,ما هي عاصمة جمهورية أذربيجان؟,باكو
ب,ما هي عاصمة جمهورية البرازيل الاتحادية؟,برازيليا
ب,مُصطلح يطلق على المعلومات الأولية غير المعالجة التي تُستخدم للتحليل والتدقيق,بيانات
ب,ما هو اسم مقر وزارة الدفاع الأمريكية الذي يُعرف بشكله الخماسي؟,البنتاجون
ب,ما هي الغدة المسؤولة عن إفراز الأنسولين؟,البنكرياس
ب,ما اسم الكائنات الدقيقة التي قد تكون نافعة أو ضارة، ولا تُرى بالعين المجردة؟,بكتيريا
ب,"من مرادفات كلمة ""بدأ""",باشر
ب,ما هي عاصمة المجر؟,بودابست
ب,ما الاسم الذي يُطلق على الأرض الصحراوية المفتوحة التي تسكنها القبائل الرحل؟,بادية
ب,ما المركب الغذائي الأساسي الذي يُستخدم في بناء الأنسجة والعضلات داخل جسم الإنسان؟,بروتين
ب,ما هي عاصمة دولة سويسرا؟,بِرن
ب,في الشِعر ماذا يسمى الجزء الذي يتم فيه معنى القصيدة وغاية الشاعر؟,بيت القصيد
ب,ما هو المضيق الذي يصل بين البحر الأحمر والمحيط الهندي عبر خليج عدن؟,باب المندب
ب,ما اسم وسيلة النقل البحرية الكبيرة التي تُستخدم لنقل الركاب أو البضائع؟,باخرة
ب,مدينة سعودية هامة يقال انها اشتقت اسمها من الاسم الاول للصحابي ابن الحصيب الاسلمي,بريدة
ب,ما اسم أول غزوة فاصلة بين المسلمين والمشركين وقعت في السنة الثانية للهجرة؟,غزوة بدر
ب,ما الاسم العلمي للبكتيريا النافعة والّتي تعيش طبيعيًا في الأمعاء وتساعد في تعزيز صحة الجهاز الهضمي والمناعة؟,بروبيوتيك
ب,"ما معنى ""القلى"" كما في الآية الكريمة {مَا وَدَّعَكَ رَبُّكَ وَمَا قَلَى}؟",البُغض
ب,ما اسم المدينة التي تُعد أولى القبلتين ومسرى النبي محمد صلى الله عليه وسلم في رحلة الإسراء؟,بيت المقدس
ب,ما هو الاسم المعروف للطائر مالك الحزين، وهو طائر ذو أرجل طويلة؟,البلشون
ب,ماذا تسمى عملية كتابة التعليمات وتوجيه الأوامر لجهاز الحاسوب أو أي جهاز آخر؟,البرمجة
ب,ما هي عاصمة جمهورية التشيك؟,براغ
ب,ما اسم الدولة الأكبر مساحة في أمريكا الجنوبية؟,البرازيل
ب,ما المادة الصناعية التي تُصنع من البترول وتُستخدم في العديد من المنتجات اليومية؟,بلاستيك
ب,أقدم الخضروات التي عرفتها الحضارات على مر التاريخ,البازلاء
ب,ما هي عاصمة جمهورية الأرجنتين؟,بوينس آيرس
ب,ما اسم الحالة الغازية التي تنتج عندما يتم تسخين الماء إلى درجة الغليان؟,بخار
ب,ما المسمى الذي يطلق على صلاة الفجر وصلاة العصر؟,البردين
ب,ما هي عاصمة مملكة كمبوديا؟,بنوم بنه
ب,حفرة أو فتحة تُحفر في الأرض للوصول إلى المياه الجوفية,بئر
ب,ما اسم الدابة التي ركبها النبي صلى الله عليه وسلم ليلة الإسراء والمعراج؟,البراق
ب,ما اسم الأداة البسيطة التي تُستخدم لتغيير اتجاه القوة وتُسهل رفع الأشياء الثقيلة؟,بكرة
ب,ما اسم الطائر الليلي المعروف بقدرته على تدوير رأسه تقريبًا بزاوية 270 درجة؟,بومة
ب,ما اسم الوعاء المقاوم للحرارة الذي يُستخدم لصهر المعادن في المختبرات؟,بوتقة
ب,ما اسم الحيوان الهجين الناتج عن تزاوج الحصان وأنثى الحمار، ويُستخدم في النقل؟,بغل
ب,ما اسم الفريق الذي فاز بدوري أبطال أوروبا عام ٢٠٠٤؟,بورتو
ب,ما اسم العملية التي يتم فيها تحويل الطاقة الضوئية إلى طاقة كيميائية في النباتات؟,البناء الضوئي
ب,ما اسم السوق المالية التي يتم فيها شراء وبيع الأسهم والسندات؟,بورصة
ب,ما اسم المؤسسة العلمية في بغداد التي أنشأها العباسيون وكانت مركزاً للترجمة والبحث العلمي؟,بيت الحكمة
ب,ما اسم بطل لعبة تشابك Tangles (من تطوير أستديو سهم),باسل
ب,ما اسم الأداة التي تُستخدم لتحديد الاتجاهات وتعتمد على المجال المغناطيسي للأرض؟,البوصلة
ب,سلسلة أجهزة ألعاب فيديو أحدثت ثورة في عالم الترفيه، انطلق أول إصداراتها عام 1994,بلايستيشن
ب,كلمة تطلق على الجهاز الذي يستخدم لقياس الضغط الجوي؟,البارومتر
ب,ما اسم الغدة التي تقع خلف المعدة وتفرز الأنسولين؟,بنكرياس
ب,ما هي عاصمة جمهورية كولومبيا؟,بوغوتا
ب,ماذا يسمى الجزء السائل من الدم؟,البلازما
ت,ما الاسم الذي يُطلق على قدرة الشخص على نقل أفكاره ومشاعره بالكلام أو الكتابة؟,تعبير
ت,ما اسم العمل الفني الذي يُشكّل عادةً من الحجر أو المعدن ليمثّل شكل إنسان أو حيوان؟,تمثال
ت,ماذا يسمى تقسيم موضوع معقد لأجزاء صغيرة لفهمها بشكل أعمق؟,تحليل
ت,طائرة حربية متعددة المهام تستعمل كمطاردة ومقاتلة وهي إنتاج مشترك من بريطانيا وألمانيا وإيطاليا,تورنادو
ت,ماذا تسمى الطهارة بالتراب كبديل عن الوضوء أو الغسل,التيمم
ت,عملية كيميائية وفيزيائية يتم فيها تسجيل الصورة عبر تعريض سطح حساس للضوء للأشعة المنعكسة من المشهد,التصوير
ت,ما هو المصطلح الذي يصف تغير سرعة الجسم خلال مدة معينة؟,التسارع
ت,ما العملية التي تُستخدم لتحويل المعلومات إلى صيغة سرية لا يمكن قراءتها إلا باستخدام مفتاح خاص؟,تشفير
ت,ما اسم الخلايا التي تُهاجم الخلايا المصابة في الجهاز المناعي؟,خلايا تائية
ت,ما العملية التي يتم من خلالها ابتكار أو إعداد عمل أدبي أو فني أو علمي؟,تأليف
ت,دولة تحتل المرتبة الأولى عالمياً في استهلاك الشاي للفرد، ويشرب مواطنوها الشاي في كل الأوقات والمناسبات,تركيا
ت,ما هي السورة التي سميت على اسم فاكهة؟,التين
ت,ما الاسم الذي يُطلق على توفير المال اللازم لإنشاء مشروع أو تنفيذه؟,تمويل
ت,إفراد الله سبحانه وتعالى بما يختص به من الربوبية والألوهية والأسماء والصفات,توحيد
ت,ما هو الحيوان الّذي لا يستطيع إخراج لسانه من فمه؟,تمساح
ت,مصطلح فيزيائي يصف تكرار الذبذبة خلال مدة معينة؟,التردد
ت,"ما الأسلوب البلاغي الذي يُستخدم لربط شيئين من خلال أداة مثل ""كأن"" أو ""مثل""؟",تشبيه
ت,ما هي آخر غزوات النبي صلى الله عليه وسلم؟,تبوك
ت,ما المصطلح الذي يُطلق على التغير الكيميائي الذي يحدث عند خلط مادتين أو أكثر؟,تفاعل
ت,ما العملية الحيوية الطبيعية التي يتم من خلالها إنتاج كائنات جديدة من نفس النوع؟,تكاثر
ت,أحد شعراء الجاهلية ويصنف من صعاليك العرب,تأبط شرًّا
ت,ما هو فرع الرياضيات المعني بدراسة معدل التغير اللحظي لكمية بالنسبة لأخرى؟,التفاضل
ت,ما الاسم الذي يُطلق على المرتفعات الأرضية الصغيرة الأقل ارتفاعًا من الجبال؟,تلال
ت,ما هي عاصمة جمهورية ألبانيا؟,تيرانا
ت,اسم علم مؤنث يعني النخلة الصغيرة؟,تالا
ت,ما اسم القاعدة في الشطرنج التي يتم فيها تحويل البيدق إلى قطعة أقوى عند وصوله إلى الصف الأخير من الرقعة؟,الترقية
ت,ما الاسم الذي يُطلق على العملية التي تهدف إلى تحسين قدرات الفرد للاندماج في المجتمع أو سوق العمل؟,تأهيل
ت,ماذا يُطلق على الحالة التي تتطلب بذل جهد أو مواجهة صعوبة لتحقيق هدف معين؟,تحدي
ت,ما اسم العلم الذي يهتم بإتقان نطق حروف القرآن الكريم وأحكام تلاوته؟,تجويد
ت,ما الاسم الذي يُطلق على تحويل الأفكار أو الأشياء إلى مفاهيم غير ملموسة أو رمزية؟,تجريد
ت,ما اسم النوع الأدبي الذي يصوّر مآسي الإنسان ويثير الحزن والتعاطف؟,تراجيديا
ت,باخرة عملاقة فاخرة تكلفت الملايين وغرقت في أول رحلة في عام 1912 وراح ضحيتها 1517 شخصًا من ركابها,تايتنك
ت,ما الاسم الذي يُطلق على الموروث الثقافي والفني والتاريخي الذي تنتقل قيمه عبر الأجيال؟,تراث
ت,من هو مخترع المصباح الكهربائي؟,توماس اديسون
ت,ما الاسم الذي يُطلق على عملية تسجيل الأحداث أو المعلومات كتابةً للحفظ أو النشر؟,تدوين
ت,ما اسم المكوّن الإلكتروني الصغير الذي يُستخدم كمضخم أو مفتاح في الدوائر الكهربائية؟,ترانزستور
ت,مالأكلة التي أوصى بها النبي صل الله عليه وسلم للمريض والحزين وهي عبارة عن حساء يُصنع من دقيق الشعير ويُمزج مع الحليب والعسل؟,التلبينة
ت,ما المصطلح الذي يُستخدم لوصف حركة الماء أو الهواء أو الكهرباء في اتجاه معين؟,تيار
ت,ما الاسم الذي يُطلق على إعادة فعل أو قول شيء مرة بعد مرة؟,تكرار
ت,ما هي عاصمة جورجيا؟,تبليسي
ت,ما المصطلح الاقتصادي الذي يدل على ارتفاع مستمر في الأسعار وانخفاض قيمة العملة؟,تضخم
ت,ما هو الاسم الحقيقي لجنكيز خان؟,تيموجين
ت,من الألقاب الّتي لُقِّب بها الصحابي الجليل عبد الله بن عباس (رضي الله عنه)؟,ترجمان القران
ت,ماذا يسمى صوت البلبل؟,تغريد
ت,ما اسم الموجة البحرية العنيفة التي تنشأ نتيجة زلزال أو انفجار بركاني تحت سطح البحر؟,تسونامي
ت,ما اسم العملية التي يصل فيها المحلول إلى أقصى كمية من المذاب؟,التشبع
ت,ما المصطلح الذي يُستخدم لوصف محاولة محاكاة تصرفات أو أعمال أو أصوات شخص آخر؟,تقليد
ت,إدخال مواد ضارة إلى البيئة الطبيعية، مما يسبب خللاً وتغيرات سلبية تجعلها غير آمنة أو غير مناسبة للكائنات الحية,تلوث
ت,عملية البحث والكشف عن الثروات في باطن الأرض، سواء كانت معادن أو آثار,التنقيب
ت,ما المصطلح الذي يُطلق على العملية التي يتبادل فيها طرفان أو أكثر الحوار للوصول إلى اتفاق؟,تفاوض
ت,وسيلة لنقل الناس بواسطة مركبات هوائية معلقة في أسلاك تعمل بالكهرباء,تيليفريك
ت,ما اسم المنطقة البيئية الباردة التي تمتاز بقلة الأشجار وانتشار الطحالب؟,تندرا
ت,ما هي السورة الوحيدة في القرآن الكريم الّتي لا تبدأ بالبسملة؟,سورة التوبة
ت,ماذا يسمى كتمان عيب السلعة عن المشتري أو إعطائها صفة غير موجودة فيها؟,التدليس
ت,ما الاسم الذي يُطلق على العمل الفني أو الأثري الذي يتميز بجماله وقيمته العالية؟,تحفة
ت,ما الاسم الذي يُطلق على الأشكال المختلفة لسطح الأرض مثل الجبال والسهول والوديان؟,تضاريس
ت,كلمة تعني استعمال الحق في غير موضعه او زيادة مضرة,تعسف
ت,ما الاسم الذي يُطلق على تطبيق المعرفة العلمية لتطوير الأدوات والأنظمة التي تسهّل حياة الإنسان؟,تكنولوجيا
ث,أحد الأسماء الذي يطلق على الإنس والجن وُرِد ذكره في القرآن,الثقلان
ث,ماذا يسمى صوت الشاة؟,ثغاء
ث,ما الاسم الذي يُطلق على الجزء من النبات الذي يحتوي على البذور ويكون غالبًا صالحًا للأكل؟,ثمرة
ث,ما هي الصفة التي تطلق على الشخص كثير الكلام؟,ثرثار
ث,الفجوة التي يمكن أن تشكل نقطة ضعف,ثغرة
ث,ماذا يسمى تساقط الشعر المفاجئ في مناطق دائرية بالرأس؟,الثعلبة
ث,تغيير جذري وشامل وسريع في الأوضاع السياسية أو الاجتماعية أو الاقتصادية ، يقوم به مجموعة كبيرة من الناس نتيجة غضب أو تطلع للأفضل,ثورة
ث,ما هو مجموع القيم والعلوم والمعارف والفنون المتوارثة في المجتمع؟,ثقافة
ث,ما هو وصف المرأة التي سبق لها الزواج في الفقه الإسلامي؟,ثيب
ث,ماذا يطلق على الأم الّتي فقدت ابنها؟,ثَكلى
ث,كلمة تأتي بمعنى داوم وواظب عليه بإصرار,ثابر
ث,أكلة عربية شعبية عريقة، اشتهرت بأنها طعام النبي محمد ﷺ المفضل وهو خبز يابس يُفتّ ويُصب عليه مرق اللحم,الثريد
ث,المقابل النقدي الذي يتفق عليه البائع والمشتري نظير الحصول على سلعة أو خدمة,ثمن
ث,ما الاسم الذي يُطلق على شعور الإنسان بقدرته على اتخاذ القرارات وتحقيق الأهداف دون تردد؟,ثقة بالنفس
ث,ما هو اسم قوم صالح الذين أهلكهم الله تعالى بالصيحة والرجفة؟,ثمود
ث,ما هي القبيلة التي واجهت المسلمين في غزوة حنين وأسلمت بعد الغزوة؟,ثقيف
ث,ما الاسم الذي يُطلق على التآكل الحاصل في طبقة تحمي الأرض من الأشعة فوق البنفسجية الضارة؟,ثقب الأوزون
ث,ما هو الإنزيم الذي يعتبر العامل الرئيسي في تجلط الدم؟,الثرومبين
ث,ما هو فرع الفيزياء الذي يدرس العلاقة بين الحرارة والأشكال الأخرى للطاقة؟,ثرموديناميكا
ث,ما الصفة التي تُطلق على الشيء الذي لا يتغير مع الزمن أو الظروف؟,ثابت
ث,عشب يمتد على الأرض ويشتبك كاللبدة ويُستخدم لتغطية الحدائق والملاعب ويستخدم كعلف ومراعٍ للمواشي,ثيّل
ث,ما هو الجزاء الحسن الذي يناله المسلم على أعماله الصالحة في الدنيا والآخرة؟,ثواب
ث,كلمة بمعنى الغنى وكثرة المال والسعة في الرزق,ثراء
ث,صفة في اللغة لما هو مكونًا من اثنين,ثنائي
ث,الاسم الذي يُطلق على مقر إقامة الجنود ومكان تدريبهم ومبيتهم,ثكنة
ث,من هو صاحب قصة الأسر الشهيرة الذي ربط في سارية المسجد ثم أسلم بعد إحسان الرسول ﷺ إليه؟,ثمامة بن أثال
ث,ما هي الأجسام الفلكية ذات الجاذبية الهائلة التي لا يفلت منها حتى الضوء؟,ثقوب سوداء
ث,منطقة صحراوية شمال الرياض اشتهرت بكونها وجهة ترفيهية للتخييم والتنزه وسباقات الهجن والخيول,الثمامة
ث,من هو الصحابي الذي كان خطيب الأنصار ووصفه النبي بأنه من أهل الجنة وشهد أحد والخندق؟,ثابت بن قيس
ث,اضطراب صحي يتسبب بتقلبات مزاجيّة حادّة وتسبب للمصاب الهوس والاكتئاب,ثنائي القطب
ث,ماذا تسمى الأسنان الأربع الأمامية في مقدمة الفم؟,الثنايا
ث,ما هي الطائفة من الحيوانات الفقارية التي ترضع صغارها؟,ثدييات
ث,"محافظة في مدينة الرياض تلقب بـ""أم البنادق"" وتشتهر بمعالم تراثية وقصور طينية",ثادق
ث,ماذا يطلق على النظرة الحادة التي يكون فيها دقة ملاحظة وفهم عميق للأمور,ثاقبة
ث,بماذا يوصف الشيء الغالي ذو القيمة العالية؟,ثمين
ث,اسم علم مؤنث يعني الحمد والشكر,ثناء
ث,ما اسم الغاز الذي ينتج عن تنفس الكائنات الحية واحتراق المواد العضوية، وتساهم زيادته في ظاهرة الاحتباس الحراري؟,ثاني أكسيد الكربون
ث,ما المصطلح الذي يُطلق على النقص في نظام أو دفاع يُمكن استغلاله؟,ثغرة
ث,ما هو الفراغ أو الفتحة في جسم صلب؟,ثقب
ث,كلمة بمعنى الاستقرار والدوام والرسوخ وعدم الزوال أو التحرك,ثبات
ث,ما هي الكمية في الفيزياء التي تربط بين طاقة الفوتون وتردده؟,ثابت بلانك
