letter,question,answer
أ,"شخص ضحى بكل ما يملك من أجل عصابته وفي النهاية خذلوه واتهموه بالخيانة","أرثر مورغان"
أ,"صحابي جليل، كان يتميز في المعارك بعصابة حمراء يلفها على رأسه يعرف بها شجاعته","أبو دجانة الأنصاري (رضي الله عنه)"
أ,"صحابي لا يزال يُحرس قبره حتى الآن؟","أبو أيوب الأنصاري"
أ,"من هي أول دولة عرفت التلفزيون؟","أمريكا"
أ,"ماذا يطلق على قارتي أوروبا وآسيا عندما كانتا مندمجتين؟","أوراسيا"
أ,"من هو الخال الوحيد لولد عمتك؟","أبوك"
أ,"ما هي القدرة على إنتاج أفكار وأعمال أصيلة ومبتكرة؟","الإبداع"
أ,"عاصمة قديمة للشام أيام البيزنطيين؟","أنطاكية"
أ,"ما المصطلح الذي يُطلق على التوجه طويل الأمد الذي تتبعه مؤسسة لتحقيق أهدافها الكبرى؟","استراتيجية"
أ,"ما هي جنسية اللاعب جابرييل باتيستوتا؟","أرجنتيني"
أ,"ماذا تسمى أطول مدة زمنية؟","الأبد"
أ,"ما هي عاصمة دولة كندا؟","أوتاوا"
أ,"أكثر صحابي رواية للأحاديث","أبو هريرة"
أ,"ما اسم والدة النبي محمد صلى الله عليه وسلم؟","آمنة بنت وهب"
أ,"ما هو الجزء الذي لا ينام؟","الأنف"
أ,"من المكونات الأساسية للطائرة؟","أجنحة"
أ,"ما هي المدينة الصناعية التي تعد أكبر تجمع صناعي عائم في العالم ويعد صافي الانبعاثات فيها صفراً وتقع في نيوم؟","أوكساجون"
أ,"ما معنى قسورة في جملة فرت من قسورة؟","الأسد"
أ,"ماذا يسمى التوقع والرجاء في حدوث الخير في المستقبل؟","أمل"
أ,"ما اسم الجبال الشهيرة الواقعة في وسط أوروبا وتعد من أهم الوجهات السياحية والثلجية؟","جبال الألب"
أ,"علم طبيعي يُعنى بدراسة الحياة والكائنات الحية، بما في ذلك هياكلها ووظائفها ونموها وتطورها وتوزيعها وتصنيفها.","علم الأحياء"
أ,"من هو مخترع علم النحو؟","أبو الأسود الدؤلي"
أ,"من هو مؤسس علم النحو؟","أبو الأسود الدؤلي"
أ,"لعبة إلكترونية تبدأ بحرف الألف","أوفر واتش"
أ,"هو بطل الملحمة العربية الشعبية سيرة ابن هلال؟","أبو زيد الهلالي"
أ,"ما هي القارة العجوز؟","أوروبا"
أ,"في أي قارة تقع دولة إريتريا؟","أفريقيا"
أ,"من هو الشاعر الذي لُقب بأمير الشعراء؟","أحمد شوقي"
أ,"ما لون لسان الزرافة؟","أزرق"
أ,"ما هو لون الكعبة قديماً؟","أبيض"
أ,"ما هو لون لسان الزرافة؟","أزرق"
أ,"اسم نادي سعودي سمي على جبل","أحد"
أ,"ما هو أقوى وأقسى أنواع الحجارة؟","الألماس"
أ,"ما هو اسم والد سيدنا إبراهيم؟","آزر"
أ,"ما هو أعلى شلّال في العالم؟","آنجل"
أ,"ماذا يسمى الشخص متقارب الأسنان؟","أرص"
ب,"ما هو اسم النبات الأخضر الذي يُستخدم في إعداد العديد من الأطباق الشعبية ويتميز بملمسه اللزج وقيمته الغذائية العالية؟","بامية"
ب,"ما هو مرادف كلمة فجأة؟","بغتة"
ب,"ما هو مرادف كلمة شجاع؟","باسل"
ب,"من هو أول مؤذن في الإسلام؟","بلال بن رباح"
ب,"ما هي عاصمة فرنسا؟","باريس"
ب,"ما هو الطبق المكسيكي الشهير الذي يتكون من الأرز والفاصوليا واللحم؟","البوريتو"
ب,"طائر ولكن لا يطير؟","بطريق"
ب,"ما اسم الدولة الأكبر مساحة في أمريكا الجنوبية؟","البرازيل"
ب,"ما اسم فيلم يوسف شاهين الذي تناول قصة حياة بائع جائل في محطة قطار؟","باب الحديد"
ب,"ما اسم وكالة الأنباء البلجيكية؟","بلجا"
ب,"ما هو اسم الفيلم الذي تدور أحداثه في عالم الخيال العلمي؟","بلايد رانر"
ب,"من هو أمين النبي صلى الله عليه وسلم على نفقاته؟","بلال بن رباح"
ب,"مادة عطرية تستخدم لإنتاج رائحة عطرة عند احتراقها","البخور"
ب,"ما هي المدينة المعروفة بمدينة الشمس؟","بعلبك"
ب,"في اللغة والأدب، كلمة معناها الدليل والحجة الظاهرة.","برهان"
ب,"ما هو الحيوان الذي يعرف بقدرته على الطيران والسباحة في نفس الوقت؟","البط"
ب,"ما هو الجبن المصنوع تقليديا من حليب الحمار؟","بولي"
ب,"مدينة أثرية منحوتة في الصخور، تُعرف بـ”المدينة الوردية”، وهي من عجائب الدنيا السبع الحديثة.","البتراء"
ب,"ما هو العضو الموجود في جسم الإنسان الذي يلقب بـ 'الغدة الصماء' ويفرز الأنسولين؟","البنكرياس"
ب,"ماهي عاصمة جمهورية أذربيجان؟","باكو"
ب,"ماذا تسمى القارة الأولى قبل تفكك القارات؟","بانجيا"
ب,"من هو صاحب أكبر قناة سعودية في اليوتيوب؟","بندريتا"
ب,"من هو صانع أول ساعة يد في العالم؟","بيتر هينلاين"
ب,"ما هي اللغة الرسمية في البرازيل؟","البرتغالية"
ب,"ماذا تسمى الأوراق الملونة بالزهرة والتي وظيفتها الرئيسية هي جذب الملقحات مثل النحل والفراشات","البتلات"
ب,"ما هو معنى اسم الخنساء؟","البقرة الوحشية"
ب,"ما هي عاصمة الصين؟","بكين"
ب,"ما هي جنسية شخصية قوست داخل لعبة كول اوف ديوتي؟","بريطانية"
ب,"صفة يوصف بها الشجاع في المعارك","البسالة"
ب,"ما اسم الجزء البارز في مقدمة السفينة الذي يكون أسفل خط الماء؟","بصلة الجؤجؤ"
ب,"ما هو الطبق الهندي الشهير الذي يتكون من الأرز واللحم أو الخضروات والبهارات؟","البرياني"
ب,"ما عاصمة العراق؟","بغداد"
ب,"ما لون الصندوق الأسود؟","برتقالي"
ب,"ما هو الاسم الأول للرسام بيكاسو؟","بابلو"
ب,"ما هي عاصمة التشيك؟","براغ"
ب,"أربعة يمشون وأربعة يبكون وتاسعهم مجنون؟","البقرة"
ب,"هو الشخص الذي يجوب البحر","بحار"
ب,"ما هي حجرة عضلة القلب المسؤولة عن الانقباض وضخ الدم؟","البطين"
ب,"قطعة من قطع الشطرنج تعد هي أضعف قطعة على اللوح","البيدق"
ب,"ما اسم العملية التي يُنتِج فيها النبات طعامه؟","البناء الضوئي"
ب,"تطلبها دائرية وتأتيك في مربع وتأكلها مثلث فما هي؟","بيتزا"
ب,"حيوان يكون حجمه عند الولادة أصغر حجماً من الفأرة ما هو؟","الباندا"
ب,"ما اسم المنتخب الذي يُلقب بـ”شياطين القارة الحمر” في أوروبا؟","بلجيكا"
ب,"يعد معمل بقيق من أكبر معامل التركيز في العالم، فما هو؟","بقيق"
ب,"ما هي عاصمة دولة بنما؟","بنما"
ب,"ما هو العنصر الذي يؤدي إلى ظهور اللهب الأخضر في الألعاب النارية؟","الباريوم"
ب,"سورة من سور القرآن الكريم يطلق عليها سنام القرآن؟","البقرة"
ب,"ما اسم الحلوى التي تُحضّر بالعسل والمكسرات وتشتهر بها الشام؟","بقلاوة"
ب,"ما هو المصطلح الذي يصف الصحراء الجرداء التي لا ماء فيها ولا عشب وذكر في بيت شعري للمتنبي؟","البيداء"
ب,"ما هو مرادف اللدائن؟","البلاستيك"
ب,"ما هو الشيء الذي يكون اسمه مثل لونه؟","البرتقال"
ب,"ما المسمى الذي يطلق على صلاة الفجر وصلاة العصر؟","البردين"
ب,"أين يقع مطار الأمير نايف بن عبدالعزيز؟","بريدة"
ب,"قبة خضراء داخلها عبيد حكمها حكم الله ومفتاحها حديد","البطيخ"
ب,"ما الفاكهة الصيفية الكبيرة الحلوة المعروفة بقشرتها الخضراء ولبها الأحمر؟","بطيخ"
ب,"ما هي القبلة الأولى في الإسلام؟","بيت المقدس"
ب,"وعد عرف بوعد من لا يملك لمن لا يستحق؟","وعد بلفور"
ب,"جسيم موجب الشحنة في نواة الذرة؟","البروتون"
ب,"ماذا كان اسم شركة نايك القديم في بدايتها؟","بلو ريبون سبورتس"
ب,"ما هي عاصمة بلجيكا؟","بروكسل"
ب,"من أسماء الناقة؟","البسوس"
ب,"أحد قراء القرآن الكريم، وإمام وخطيب المسجد الحرام في مكة المكرمة","بندر بليلة"
ب,"ما هو الباب الذي لا يمكن فتحه؟","الباب المفتوح"
ب,"البحيرة الملقبة بـ (لؤلؤة سيبيريا) وهي أعمق بحيرة في العالم؟","بايكال"
ب,"ما هو البروتوكول المستخدم لنقل صفحات الويب عبر الإنترنت؟","بروتوكول النقل"
ب,"في أي بلد نشأ أول سيرك في العالم؟","بريطانيا"
ب,"ما هي عاصمة حمورابي، مدينة الأساطير والحدائق المعلقة؟","بابل"
ب,"جميع دول قارة أمريكا الجنوبية تتحدث الإسبانية ما عدا دولة واحدة، ما هي؟","البرازيل"
ب,"أين تقع جزر لانجرهانز؟","البنكرياس"
ب,"ما اسم الدابّة التي امتطاها الرسول صلى الله عليه وسلم ليلة الإسراء والمعراج؟","البراق"
ب,"جسم صلب فيه جسيمات مكونة من الذرات؟","بلور"
ب,"ليس بكائن حي وليس له رئة لكنه يحتاج الهواء لكي ينمو، فما هو؟","بالون"
ب,"من هو اللاعب الذي صنف كأفضل لاعب شطرنج في وقته؟","بوبي فيشر"
ب,"هو جهاز يتكون من خلية كهركيميائية بوصلات خارجية بهدف تشغيل الأجهزة الكهربائية مثل المصابيح الكهربائية والهواتف المحمولة والسيارات","بطارية"
ب,"ما هو العنصر الفلزي الأثقل من الذهب والأغلى منه؟","بلاتين"
ب,"مُصطلح يطلق على المعلومات الأولية غير المعالجة التي تُستخدم للتحليل والتدقيق","بيانات"
ب,"ما هو اسم أعلى برج في العالم؟","برج خليفة"
ب,"من هو الشخص الذي له الفضل في تعلم الكتابة في شبه الجزيرة العربية؟","بشر بن عبدالملك الكندي"
ب,"ماهي الغدة المسؤولة عن إفراز الأنسولين؟","البنكرياس"
ب,"ما هو النادي الذي كان يلعب له ميسي ونيمار ومبابي؟","باريس سان جيرمان"
ب,"أماكن مليئة بالورد والعشب والأشجار؟","بساتين"
ب,"ما هو اسم الفاكهة الصيفية الكبيرة ذات القشرة الخضراء واللب الأحمر؟","بطيخ"
ب,"ما أشبه الليلة بالـ...","البارحة"
ب,"ما هو المصطلح الذي يطلق على مجموعة من الأخبار المفرحة؟","بشائر"
ب,"ما هي عملة إثيوبيا؟","بير"
ب,"لقب أطلق على مريم عليها السلام؟","البتول"
ب,"دولة شاركت في كأس العالم مرة واحدة فقط","بنما"
ب,"من هو مؤسس لعبة ببجي؟","بريندان جرين"
ب,"محافظة في منطقة القصيم وقعت فيها معركة شهيرة تسمى؟","البكيرية"
ب,"ما عملة المكسيك؟","البيزو المكسيكي"
ب,"ماذا تسمى أولاد الضأن والمعز؟","بهم"
ب,"هو نوع من أنواع الصقور وأقواها؟","الباز"
ب,"نوع من أنواع المأكولات يتميز بجسم أسود وقلب أبيض؟","الباذنجان"
ب,"ما هي أول سورة نزلت بعد الهجرة؟","البقرة"
ب,"من هي الدولة التي تلقب بالشياطين الحمر في كرة القدم؟","بلجيكا"
ب,"ما هي أغلى أكلة؟","بيض السمك"
ب,"مصطلح ذٌكر في القرآن الكريم بمعنى أشد الحزن والهم الذي انطوت عليه النفس ولا يطيقه المرء","البث"
ب,"صدع في قشرة الأرض الدائري غالبا تخرج منه الحمم؟","براكين"
ب,"ماذا تسمى عملية كتابة التعليمات وتوجيه الأوامر لجهاز الحاسوب أو أي جهاز آخر؟","البرمجة"
ب,"ما هي أول مدينة عربية دخلت إليها الكهرباء؟","بيروت"
ت,"من هو مؤسس الدولة السعودية الثانية وصاحب السيف الأجرب؟","تركي بن عبدالله بن محمد آل سعود"
ت,"دولة عربية تقع في شمال أفريقيا، عاصمتها تحمل نفس اسمها وتشتهر بآثار قرطاج؟","تونس"
ت,"ماذا تعني كلمة 'أوفسايد' في كرة القدم؟","تسلل"
ت,"ما المصطلح الذي يُطلق على العملية التي يتبادل فيها طرفان أو أكثر الحوار للوصول إلى اتفاق؟","تفاوض"
ت,"هو شعور يجعل الشخص مُثيرًا للشفقة والاستعطاف ويجعله سيء الحظ والحال؟","التعاسة"
ت,"مبنى يستعمل في تسوية الخبز؟","تنور"
ت,"ما هي الكلمة التي تعني الشح أو إمساك اليد شحاً ومن مرادفات البخل؟","تقتير"
ت,"ما هو الموقع الأثري في الجزائر الذي يضم آثار مدينة تيمقاد الرومانية؟","تيمقاد"
ت,"إثقال إحدى كفتي الميزان حتى تميل","ترجيح"
ت,"حساء يصنع من دقيق الشعير واللبن والعسل أوصى بها النبي صلى الله عليه وسلم لتخفيف الحزن","تلبينة"
ت,"ما هي آخر غزوات النبي صلى الله عليه وسلم؟","تبوك"
ت,"ما هو اسم العملية التي تنتج فيها البكتيريا الغذاء من المواد الكيميائية بدلاً من ضوء الشمس؟","التخليق الكيميائي"
ت,"ما الذي كان يطلق عليه قديماً مسامر الركب؟","التمر"
ت,"ما اسم العلم الذي يهتم بإتقان نطق حروف القرآن الكريم وأحكام تلاوته؟","تجويد"
ت,"مرادف كلمة تكلم","تلفظ"
ت,"ماذا يسمى كتمان عيب السلعة عن المشتري أو إعطائها صفة غير موجودة فيها؟","التدليس"
ت,"ما هو الاسم الذي يطلق على مرتفع من الأرض يكون أقل ارتفاعاً من الجبل؟","التل"
ت,"إجراء طبي يلجأ له مرضى زيادة الوزن للتقليل من أوزانهم؟","تكميم"
ت,"من هو الصحابي الذي وصفه عمر بن الخطاب رضي الله عنه بأنه خير أهل المدينة؟","تميم الداري"
ت,"من هو الملك الفرعوني الذي اكتشفت مقبرته سليمة عام 1922؟","توت عنخ آمون"
ت,"ما هي أكبر هضبة في العالم؟","التبت"
ت,"اسم شهر إذا حذفت أوله أصبح اسم فاكهة؟","تموز"
ت,"مدينة وقعت فيها أكبر كارثة نووية شهدها العالم؟","تشيرنوبل"
ت,"ما معنى الاستقراء في اللغة؟","تتبع وتقصي الجزيئيات"
ت,"ما هي أسرع المخلوقات البحرية؟","سمك التونة"
ت,"طعام تقليدي من المطبخ المكسيكي يرتكز على خبز الذرة وتكون مطوية","تاكو"
ت,"علاقة يستفيد منها مخلوق بينما يتضرر الآخر؟","تطفل"
ت,"شهر من الشهور القبطية اسمه على اسم فاكهة فما هو؟","توت"
ت,"ما الاسم الذي يُطلق على عملية تسجيل الأحداث أو المعلومات كتابةً للحفظ أو النشر؟","تدوين"
ت,"شيء لا يتسخ أبداً","التراب"
ت,"من فوائد التحلل السكري","تكوين جزيئات الطاقة"
ت,"ما هي العلاقة بين البكتيريا المثبتة للنيتروجين وجذور النباتات البقولية؟","تكافل"
ت,"ما هي السورة القرآنية التي تخلو من البسملة في بدايتها؟","التوبة"
ت,"ما عاصمة إستونيا؟","تالين"
ت,"ما الاسم الذي يُطلق على العملية التي تهدف إلى تحسين قدرات الفرد للاندماج في المجتمع أو سوق العمل؟","تأهيل"
ت,"ما هي السورة التي تسمى 'الفاضحة' وتبدأ بحرف التاء؟","التوبة"
ت,"نون ساكنة زائدة تلحق آخر الاسم لفظا، وتفارقه خطا ووقفا.","تنوين"
ت,"من الألقاب الّتي لُقِّب بها الصحابي الجليل عبد الله بن عباس (رضي الله عنه)؟","ترجمان القران"
ت,"ما الفاكهة المذكورة في القرآن وتتميز بقشرتها الرقيقة ولبها الحلو؟","تين"
ت,"ما هو الاسم العلمي لمرض الزائدة الدودية؟","التهاب الزائدة الدودية"
ت,"ما هو اسم الجهاز الذي يستخدم لقياس درجة الحرارة؟","ترمومتر"
ت,"ما اسم المدينة التي حلت بها واحدة من أكبر الكوارث النووية في التاريخ؟","تشيرنوبيل"
ت,"ما الاسم الذي يُطلق على تحويل الأفكار أو الأشياء إلى مفاهيم غير ملموسة أو رمزية؟","تجريد"
ت,"ما اسم أكبر هضبة في العالم؟","هضبة التبت"
ت,"ما المصطلح الذي يشير إلى اكتساب الإلهام وتحفيز الإبداع من خلال مشاهدة التصاميم، الصور، والأعمال الفنية؟","التغذية البصرية"
ت,"باخرة عملاقة فاخرة تكلفت الملايين وغرقت في أول رحلة في عام 1912 وراح ضحيتها 1517 شخصًا من ركابها","تايتنك"
ت,"ما هو المصطلح العلمي لعملية تحول المادة من الحالة الصلبة إلى الحالة الغازية مباشرة دون المرور بالحالة السائلة؟","تسامي"
ت,"ما هي الجلسة في التشهد الأخير؟","التورك"
ت,"ما هي السورة التي لم يتم فيها ذكر البسملة؟","التوبة"
ت,"ما هي عاصمة الصين الوطنية؟","تايبيه"
ت,"سلسلة من العمليات الصناعية تجرى لإزالة كل أو جزء من الأملاح الزائدة والمعادن من المياه.","تحلية المياه"
ت,"بمعنى تغافل أو غض الطرف","تغاضي"
ت,"ماذا يُطلق على الحالة التي تتطلب بذل جهد أو مواجهة صعوبة لتحقيق هدف معين؟","تحدي"
ت,"أكبر قناة في اليوتيوب من حيث المشتركين؟","تي سيريس"
ت,"الطيارة تطير والسيارة تسير والسفينة؟","تجري"
ت,"مرض من الأمراض الصيفية وهو حمى خبيثة؟","التيفود"
ت,"تستطيع الحشرات السير على الماء بسبب خاصية؟","التوتر السطحي"
ت,"ما هو المصطلح الذي يعني انتقاد حاد وإعلان العيوب؟","تنديد"
ت,"هي منصة اجتماعية تقنية تجمع بين جميع فئات المجتمع وقيل قديماً لمن يشارك أفكاره فيها إنه يغرد في السرب، أي يشارك أفكاره بلا حدود من خلال هذه المنصة؟","تويتر"
ت,"ما هو المصطلح الطبي الذي يشير إلى التهاب الأذن؟","التهاب الأذن"
ت,"ما المدينة السعودية التي تقع شمال غرب المملكة وتُعدّ من أوائل المدن التي دخلها الإسلام بعد مكة؟","تبوك"
ت,"ما هي أطول دولة في العالم؟","تشيلي"
ت,"ما المصطلح الذي يُستخدم لوصف حركة الماء أو الهواء أو الكهرباء في اتجاه معين؟","تيار"
ت,"ما هي أشهر الحلويات الإيطالية؟","تراميسو"
ت,"إعلان بطريقة رسمية عن صحة أمر أو عن واقع حقيقي","تأكيد"
ت,"أكمل الشطر التالي: ما كل ما يتمنى المرء يدركه؟","تجري الرياح بما لا تشتهي السفن"
ت,"ما وحدة قياس المجال المغناطيسي؟","تسلا"
ت,"ما المنطقة التي انتشر فيها الإسلام مبكرًا بعد فتح بلاد ما وراء النهر؟","تركستان"
ت,"ما هو المصطلح الذي يعني تحويل المادة من الحالة السائلة إلى الغازية؟","التبخر"
ت,"ما هي الشركة الرائدة في السيارات الكهربائية؟","تسلا"
ت,"مطعم صغير يقدم الوجبات السريعة وتجده في كل حارة","تسالي"
ت,"ما هو المصطلح الطبي الذي يشير إلى التهاب الزائدة الدودية؟","التهاب الزائدة"
ت,"ما هو مقصد سورة الملك؟","تحذير الناس من كيد الشياطين"
ت,"وضعية من وضعيات الجلوس في الصلاة؟","التورك"
ت,"من مخترع المصباح الكهربائي؟","توماس أديسون"
ت,"ما هي عاصمة تونس؟","تونس"
ت,"من هو الحيوان الذي ينام وإحدى عيناه مفتوحة؟","التمساح"
ت,"نبات يستخدم في تصنيع السجائر؟","التبغ"
ت,"ما الكائن الأسطوري الذي يظهر في ثقافات عديدة كسحلية ضخمة أو ثعبان مجنَّح؟","تنين"
ت,"ما العملية التي يتم من خلالها ابتكار أو إعداد عمل أدبي أو فني أو علمي؟","تأليف"
ت,"ما هي السورة التي لا تبدأ بالبسملة؟","التوبة"
ت,"يستخدم في رؤية الأجسام البعيدة؟","تلسكوب"
ت,"ماذا نسمي صوت الحلي؟","التغتغة"
ت,"عكس التفاؤل","التشاؤم"
ت,"ماذا يسمى سريان الشحنات الكهربائية من نقطة إلى أخرى في توصيلات خاصة؟","تيار كهربائي"
ت,"من أشهر شركات السيارات؟","تويوتا"
ت,"النطق بكلام غير مفهوم","تمتمة"
ت,"ما هو الطعام الذي يُعرف بلقب “ذهب الصحراء” ويُستخدم في صناعة الحلويات والمشروبات؟","التمر"
ت,"ما هو اسم المؤشر الذي يقيس متوسط أسعار السلع والخدمات؟","التضخم"
ت,"ما هو اسم الفاكهة التي يطلق عليها ملكة الفواكه وتبدأ بحرف التاء؟","تفاح"
ت,"ما الاسم الذي يُطلق على المرتفعات الأرضية الصغيرة الأقل ارتفاعًا من الجبال؟","تلال"
ت,"ما عاصمة دولة تونس؟","تونس"
ت,"لفظ بمعنى توسع النعمة وزيادتها","ترف"
ت,"تسجيل وتحليل أحداث جرت في الماضي على أسس علمية محايدة للوصول إلى الحقائق وقواعد تساعد في فهم الحاضر والتنبؤ بالمستقبل","التاريخ"
ت,"في اللغة والأدب، الشيء الفاخر الثمين.","تحفة"
ت,"ما هي آخر غزوات الرسول صلى الله عليه وسلم؟","تبوك"
ت,"ما السبب في ظهور السماء باللون الأزرق الصافي؟","تشتت الأضواء"
ت,"كائن أسطوري يظهر في العديد من الثقافات حول العالم","تنين"
ت,"من أنواع الحواس؟","التذوق"
ت,"ما هي الدولة الأكثر استهلاكاً للشاي؟","تركيا"
ث,"ما هو اسم القوم الذين سكنوا منطقة الحجر في العصور القديمة؟","ثمود"
ث,"من هو مولى الرسول صلى الله عليه وسلم؟","ثوبان"
ث,"لفظ يطلق على الإنس والجن وورد في سورة الرحمن","الثقلان"
ث,"غار في مكة اختبأ فيه الرسول صلى الله عليه وسلم وصديقه أبو بكر من المشركين؟","ثور"
ث,"ماهو الإنزيم الذي يعتبر العامل الرئيسي في تجلط الدم؟","الثرومبين"
ث,"ما هو اسم الغار الذي اختبأ فيه الرسول صلى الله عليه وسلم مع أبي بكر أثناء الهجرة؟","غار ثور"
ث,"ما اسم القبيلة العربية التي سكنت الطائف واشتهرت في صدر الإسلام، وذُكرت في التاريخ الإسلامي؟","ثقيف"
ث,"ماذا تسمى في اللغة الأم التي فقدت ابنها؟","ثكلى"
ث,"ما ذا يسمى تساقط الشعر المفاجئ في مناطق دائرية بالرأس؟","ثعلبة"
ث,"عرف باسم تابط شرا من صعاليك وشعراء العرب في الجاهلية؟","ثابت بن جابر الفهمي"
ث,"ما هو الاسم الذي يطلق على المرأة التي فقدت ولدها؟","ثكلى"
ث,"ما الكلمة التي تعني الترتيب الثامن في تسلسل الأشياء أو الأشخاص؟","ثامن"
ث,"ما هو الشيء الذي يوجد في السماء ولكن لا يمكن لمسه؟","الثريا"
ث,"ما هو المصطلح العربي الذي هو كناية عن الشر كله؟","ثالثة الأثافي."
